sentiment,text,substring,status
positive,@ INCMP ye extra votes jo government employee bahar rahte hai apni constituency se unke h . vo EVM me nhi hote ballet se hote hai,,
positive,RT @ saadrajpoot _ bhale teri english thori kachi ha per we are really proud of you bro # SarfarazAhmed ❤️ https // t co / I6AHP6vedZ,,
positive,@ pandeyji796 @ ZAbbasOfficial @ Elmakapelma Or yeh uski beti ka khud ka decision hai achay buray ki samaj d hui hai … https // t . co / RfjbFpWmsH,,
positive,Hiii chotu babie you're so cute !💘 You're actively supporting and participating in streaming always i love that i … https // t . co / Tt0JytXvCv,,
positive,@ AWGoraya Afwahain Tere baap kuttey 🐕 ke Marne ki thin lekin bhonk Kar tu Bata raha he tera baap kutta nhi khinzeer … https // t . co / cICQf4pYsc,,
neutral,@ gkldh @ News18India @ samajwadiparty @ BJP4India Pragna thakur ko Congress ne fake case create banake fasaya tha isas … https // t . co / Fyo5X7t8XQ,,
neutral,@ MediaCellPPP Ek apel he ke sb ko ke hume sanghar me koi sahoolt nhi he seht ki . Humare pas na doctor he na N I c … https // t . co / sWkWasPwr5,,
positive,@_ YogendraYadav Ager ye deshbhakt hai to jiss yuva ne bjp ko vote daala wo kya desh dharohi hai yadav g me e … https // t co / UKD3Zd1GE0,,
negative,@ AkhileshPSingh Sahi hai sir jo kaam media ko karna chaiye vo aap kar rahe ho kyuki media to bik chuka modi ke haat … https // t co / T98dBfkweZ,,
neutral,@ anildubey04 @ msisodia @ ArvindKejriwal @ AtishiAAP @ KumarBibhav @ arunodayprakash Is kam ke bad bhi to election me ja … https // t co / clZK2FP3vS,,
negative,@ vikasbha Tum log journalist bann kaise jaate ho . Journalist ka J bhi nahi ho tum jaise log . Mann toh kar raha hai … https // t . co / UmBZMU88TS,,
negative,@ TheSamirAbbas @ TOIBhopalNews kabhi inse ratri jagran ke loye jagah mangna ghanta bhi ni milegi . hindu hi h ji aisa … https // t . co / JEcystvb1O,,
neutral,@ MianZahid89 @ shazil _ jaan @ mfaisalahmad1 @ gulnaz _ syeda @ JanetWherrich No one is leaving we all are team MNS ch … https // t co / IzcY3Y9hzh,,
negative,Thu hai aesi sharkar pe namard mardo se jeet nahi pate hai to aurto pe jurm karke apna kanoon dikhate hai sale bher … https // t . co / I55NIHFmKA,,
negative,@ VedTiwari @ HIPnHAP _ IP Mandir me cow kat kr fake skte ho koii meet khaye to pitoge mandir me pandit khud chicken mu … https // t . co / ygPcb3z3W5,,
neutral,@ rahatindori @ mppkvvclindore @ iPriyavratSingh @ OfficeOfKNath Bataiye raahat Saab ko hi raahat nahi hai .... Kuchh di … https // t . co / TK8Dsw3wTV,,
neutral,@ khan _ ka _ sher @ Ayee _ Jenai nikal ja beta nai to taryi nikki baji ko be lolomycin ka teekha laga dune ga aour tum free mea mamu ban jyo ge,,
positive,1. The 1975 I like it when you sleep for you are so beautiful yet so unaware of it 2. Arctic Monkeys AM 3. UDD … https // t . co / qoJlLlLWVH,,
neutral,@ AamAadmiParty @ ArvindKejriwal kal tak to pure desh ki problem ki baat ker rha tha . Modi aur Shah k alawa koi nhi … https // t . co / 7l4mH8dIrn,,
positive,@ rssurjewala @ manakgupta awesome campaign sir keep it up ... 2024 me bhi aap isi tarah harenge ...,,
neutral,RT @ YadavAr27945100 @ AamAadmiParty @ ArvindKejriwal Mundka under pass M Aj tak leakage band nahi hui h . Nangloi k under pass ka Kaam Chal r …,,
neutral,RT @ ask0704 The 2019 election result is a verdict against people like me | The only part correct about this Karan Thapar piece is this hea …,,
neutral,@ abpanandatv Jai Shri Ram haZ turned out to be the Vande Mataram of the day ! @ irajdeep @ republic @ amitmalviya … https // t . co / JXu5pjti3B,,
neutral,Who said ki jcb only khudai k kaam ati h yha dekho bhrayi bhi chal rahi h https // t co / cWtUqaOHvj,,
negative,@ ShilpiSinghINC @ NiranjanTripa16 Khuni sale bjp wale . Ab Maal share carneme corruption me share na milnese khun kiya hoga .,,
positive,bhut bhut badhai avam subhkamnaye aapko @ ysjagan ji for taking oath as cm # printmafias # facebook . com / printmafias,,
neutral,@ BilalAn51111557 @ Pagal _ hun _ mai _ Koshish kru ga guarantee ni deta 😂😂😂,,
neutral,@ Rheaa _ 17 Harane ko to bas ek Acha din Chahiye . Anyone can beat anyone but England even on their not so good days won by 104 runs .,,
positive,@ ggukieflies Aiiiii mera chhotu bacha 💙💙 Love you and adore you so much Mini 💙 You seem distant a few weeks back but … https // t . co / IrehKtoYgX,,
neutral,@ anjanaomkashyap Bhage nhi maidan chod k Ptiyala University ne cheating ki h,,
neutral,Movie / AlbumSari Sari Raat 2019 SongSari Sari Raat SingersMannat Noor Rajvir Jawanda Song LyricistsHappy Raiko … https // t . co / DzckopPLmJ,,
positive,@ paurikhal _ ki @ harshu _ mama @ emraanhashmi 😂😂😂😂 Matlab the layers to this scene is mind blowing !! That means they sa … https // t . co / 51chLIBnKs,,
positive,@ HaroonGFX Mehrabani 😫😫 Waise Happy birthday phir syy 💝 Many many happy returns of the day shokhy 😂,,
negative,@ AkhileshPSingh @ BJP4India @ RSSorg Abe chutiya Gandhi madhar chor hai jaise tum ho tum jaise chutiya ke Karan aaj … https // t . co / fVcPFWM9bV,,
negative,@ rumanmalik @ MichaelVaughan If not mat kaho seedha kaho pak nahi jeet sakti 😂😂😂,,
neutral,@ sakshijoshii Ham aap ko samajhty h .. aap ko vo Bhi samjhty h .. aap ek achchey insane h . yhi to bharat ki pehchan .. ek … https // t . co / wicr9OQXcs,,
positive,RT @ KgKalpana # Nesamani is enough to distract ourselves from sadness We love # Nesamani until sun dies # Pray _ for _ Neasamani https // t …,,
neutral,@ ZakaWaqar @ ImranKhanPTI Ya is lia aise book kyu k ya introductory book because hamara yaha choti clases ma compute … https // t . co / Np5g7kspJv,,
positive,@ Pawansh07 Badlao se problem kya hai .... kya badlao hone ke bad party khatm ho jayegi ? Dusro ko v moka dijiye .... A … https // t . co / lwG5JeNWuh,,
negative,RT @ memorable _ 90s Hindi bolne wala har north indian Panipuri bechne wala nahi hota Jaise har south Indian Po po bajake idli bechne wala …,,
positive,Asatya par Satya ki jeet k liye dhero subhkamnaye sir aap ko LK https // t co / HI41UIJGo0,,
negative,RT @ Nagesh _ nsui6 No Matter what result is You will always remain my Leader ❤️ & I am always proud to say this 😊 हम फिर लड़ेंगे और…,,
positive,@ yadavtejashwi laluYadav is a great philosopher he made coreauge to the downtrowden & poorIndian's this thought was … https // t . co / gDkzXAoLlW,,
negative,@ IndiaToday Teri kimat dokodi ki ho gayi ... amit shah will capture telegana soon ... kcr will resign ...,,
positive,# DeraSachaSauda Gud Mrng saiyan @ Gurmeetramrahim ji Please Bless everyone with maximum sewa Simran Parmarth and s … https // t co / J0HvXDG8hI,,
negative,Kutte k bache tu khud kuon nahi de deta ju tu ne hamare paise chori kiye hain tera pura khandan chor nikla https // t . co / k9JjLq53I9,,
negative,@ dasraghubar Sir Dhanbad Nagar nigam k upar bhi najar rakhe waha ki saaf safai kuch thik nai hai kacra lene daily n … https // tco / CIraCZjjvO,,
neutral,Hamare Sheher Mein Sach Baat Kehne Wala Hee Har Ik Nazar Mein Sazawaar Kuch Zyada Hai Poetry Ejaz Hussain FAKHI … https // t . co / Koc797uics,,
neutral,@ ChMSarwar Governor sb . ye is ghareeb mulk ka pasia ha . kisi k baap ki jageer nahi . apney personal expense pr kabhi itni khairat ki ha,,
positive,@ PonnaarrBJP @ nsitharaman Deso Netri My Strong and Kind Hearted leader Durga Shakti Lokmata Nirmala Didi Jindabad .,,
positive,@ BTS _ twt My angel seokjin with purple hair grrrrr I love you world wide hamdsome 💜,,
negative,@ Iprashant10 @ TimesNow @ navikakumar @ thenewshour Arey mai iss Time now ke u turn pe bol raha hu . Saala modi bhakt channel,,
positive,# TheGiftOfEducation thanku so much guru ji aapki Rehmat se hum sab ye kr pate h https // t co / DYPWSgrixs,,
positive,RT @ luca __ macdonald rlly cannot stress enough how important it is to tell people you love and care for them bcos you actual never know whe …,,
negative,@ JasvirGillSing2 @ paree7861 @ PaunMahesh _ INC @ ADiravia @ INCEr _ anurag Ye sabh Feku ki Hugs ka kamaal hai,,
positive,RT @ deespeak I am so PROUD to call this my first show as an actor ❤️🙏🏻 Lautne ki tamanna hai meri aur waapsi ka bhi yakeen hai ... Mazhab ha …,,
neutral,Unfollow pink-tarha's . I dont wanna see their sale update anymore . Ayoko ng mahulog sa bitag ng mga sale na yan . 😂😂😂😭😭😭😭,,
negative,@ ArvindKejriwal Bc apne muh se modi G ka naam b mt le 2020 k bad teri kh k lega tune sbki file bnai hai vo t … https // t co / GBELBuJWGp,,
positive,Good luck to my partner Hazaar doing the challenging high altitude Inca trail over 4 days to raise funds for the … https // t . co / cfk45Jiybp,,
positive,Sir sbse phele book salman khan super star Bharat movi ka hume besabri se intzar ab khtm hone wala super jodi sal an kaif # BharatWithFamily,,
neutral,@ thetemporalmonk @ Riskiest _ Poison @ Atheist _ Krishna Gadho ko to ye bhi nahi pata ki Obama ab president nhi hai US ka 😂🤦,,
neutral,RT @ madhukishwar You mean you Gora Saheb ready to fight for us bhoori kaali janta ? https // t . co / uK7Tt2TVMF,,
positive,💕 Good morning my sweet sweet papa @ Gurmeetramrahim ji 💕 🌲 Plz bless me more sewa sumiran parmarth ka bal 💪… https // t . co / eweVmL5ZAw,,
positive,@ Nammy942 @ lalatubbiess Hooh kita sllu nunggu . .·´¯`(>▂<)´¯`·. Rest well author . We love you (っ˘̩╭╮˘̩)っ,,
neutral,@ ipsnaithani @ dgpup @ lkopolice @ CMOfficeUP @ ANI @ ANINewsUP @ Uppolice Congratulations Sir .🎉 Proud of You . Sir on 29… https // t . co / Gqx8EOYMDT,,
negative,@ Joydas Na Na .. Allah ke kisi nek bande ki baddua bhe kaam kar sakte hai enemies ( pakistan ) ko destroy karne ke liye … https // t . co / siFJvCi6Bz,,
neutral,@ narendramodi SirJai Shree Ram and Bharat Mata ki Jai . I Love you India . SirKal news main pura WB dekha 1no kharap … https // t . co / CDzOPf4FAf,,
neutral,Just # watched # punjabi # movie # RabbDaRadio2 nice work by all team nice story must watch @ BawaRanjit … https // t co / c442HIrP2O,,
positive,@ NamdevAnjana Aapan sagle Parthana Ch Karu Shakto ki # pappu hach Congress president rahil # IStandWithRahulGandhi,,
positive,@ bachPunn @ iffat _ s97 @ nishacharr @ BrahmaandKiMaa Hot ' kameeney ... She replied me !! 😜😜😜,,
neutral,@ AskAnshul Is he hindu ??? to phir modi ko to use jarur bachana chaiye kyuki ek hindu aatankvadi kaise ho sakta hain … https // t . co / 0HzS0Jpov4,,
negative,@ tweetingrocky @ Wabbasi007 wo azaad kashmir wahan aman he baqi jamu kashmir ki zulim ki video ko insaan dekh nahi s … https // t . co / 20bVYGNbra,,
neutral,@ anjanaomkashyap 4- jabki main to nokri karne wala person tha 5- kisi ko nokri se nikal de ki tumhari jyda sallry … https // t co / OYDVLBjh3R,,
negative,@ MaryamNSharif O dhui ki pedaish . Teray baap ne kon se kam keay hain ? Pakistan teray baap ne banaya tha jo har chez … https // t . co / zQ8WsyILBX,,
neutral,@ umair __ 56 @ seebi17 Ggggg bilkul ! 😂😂🙏🙏 Meri characteristics btaa dyna bajii baad my bura na many 😂😂😎,,
positive,Congratulations to @ AmitShah As a India's home minister And also congratulations to @ smritiirani as a Bal Vikas Kap … https // t . co / XfsRBo2v4W,,
negative,@ AsaramBapuJi Ek nahi blki kai farji N . G . O . 's ese hain jo desh me hindu dharm ko badnam kr dharmantaran ko badhava … https // t . co / M7AJJze7XE,,
positive,@_ 123sms Khar Mubarak 😍 Allah sy dua hai ap log b jald humary sath her Din many 😍🌹,,
positive,RT @ PplOfIndia Ms @ AtishiAAP might have have done super work in education in Delhi but Modi has done superb work in all fields - from edu …,,
negative,@ RailwaySeva @ drm _ apdj @ DrmDnr DRM ko bhi bataya lekin abhi tak koi action nahi hua log AC coach ka emergency windows kholke bethe he .....,,
negative,@ Nenorakam Verri puka Ni valla fanz andaru matalu padalsivastundi Kutta muskoni they lawda ga Musugu na madda,,
negative,@ Bhupeshp _ IND Aaj rajniti man aur maryada ko bhool ker desh ko ak gande mahhol me dalne ka praysh kar rahi hai . Har … https // t . co / VhwsyyxBHv,,
positive,@ narendramodi177 kasham she bahut khushi hui sir ji Badhai ho aapko sir ji Mujhe umid thi ki sarkaar aapki hi ban … https // t co / daqdqIsJuk,,
positive,Congratulation our prime minister @ narendramodi ji Apko dil se hardik subhkamnaye sir,,
neutral,RT @ sachin _ rt My heartiest congratulations to @ narendramodi Ji & @ BJP4India for winning the # LokSabhaElections2019 The nation is with you …,,
positive,Thank u For Coming Live 😘 But I Missed it 😭 Bhai Apne Duaa k kaha me apka lia har namaz me Duaa krti hn Apka nam la k … https // t . co / ac7SQeftA9,,
negative,RT @ razzzzzzza * okay momwe friends are planning a trip * mom nahi betaajkl k dost bht kharab haikhud parhai kr lety pr dosrun ko kharab …,,
negative,@ bunnyyggukk @ lalalaseokjin @ leiaxoh OMGGGG LEGIT WE AREEEEE THE SAME ILYSMMMMMM 💜💜💜💜💜 THANK YOU FOR COMING INTO MY … https // t . co / 5Yn0mnxRRH,,
positive,@ magicfmmumbai @ thegreatnext Saktiman my favourite because mere bachpan ka show hai i love it this show .,,
negative,@ anandk2012 @ RailMinIndia @ IRCTCofficial @ PiyushGoyalOffc @ anandk2012 Saale Gaandu khud porn dikhta hai aur dusre ko blame karta h 😂,,
negative,@ Gopal _ Raftaar @ MamataOfficial Abe sale tujhse jyada mere andar Desh bhakti hai dekh le sale mera tweet ... Tu jai … https // t . co / eVmQAf5TlJ,,
neutral,Panama Rani kbhi Dil mein Khouf-E-Khuda aya hy ??? @ MaryamNSharif https // t . co / 3zQDSYpLBT,,
neutral,@ ArvindKejriwal Sadji kisi ne bheja h apke liye https // t . co / 8zKPpflz7H,,
negative,@ SanaNaz50 @ look4rohit @ TarekFatah Inko pata hi nahi hai china ke kitne project pakistan ke sath chalrahe hain bech … https // t . co / gebV4C0Y3y,,
positive,@ klishtakara Yeh kya tha phir ?!! ... Hate ko consume karke bahar na nikalu aur self-sacrificingly bholenaath jaisa … https // t . co / 3lstIAqtbD,,
neutral,@ Geriiii __ the epidural doesn ’ t hurt at all 😂 & i ’ m terrified of needles lmao but okkk we ’ ll see 😂,,
neutral,@ Keerthana1212 @ actorvijay @ pravishvj _ offl @ Prasannakrish5 @ Sathish _ Twtiz @ Mersal _ Rohit @ sivast3 @ VijayRanjitha2 Good morning pakki 🤗💘,,
negative,@ MajorPoonia @ MamataOfficial Pagla gayi hai ... Abhi to WB me ye natak band karana hai ... Didi ... Tumhare dada home … https // t . co / 1JoMHS9qhT,,
negative,@ ianishsharma @ SheerozWords @ AashuSpeak @ ImranKhanPTI Teri maa ki gaand hai kia dono tarf ? Sab ki maa ka bhosda hot … https // t . co / hBgF228LNI,,
negative,@ PidiBuster @ MamataOfficial Re Kya ho gya isko fit pad gya re isko koi juta sunghao mar jaygi nahi to bechari Didi … https // t . co / pIpha3jRRM,,
positive,An evening full of awards ! Congratulations and off course dher saara Celebration # IRF # Bajaateraho # BestNetwork … https // t . co / y4QYbDCWco,,
positive,RT @ narendramodi India is proud of all those brave men and women martyred in the line of duty Paid tributes to our brave soldiers at th …,,
neutral,He Jaan Shaadi K Baad Apke Hath Kaat Dunga .. She Wo Q Jaan ? He Main Shaadi K Baad Apko Apne Hathon See Khana Khi … https // t . co / YHkmeAE86T,,
positive,@ HimeshMankad Bhai still DDPD is running in theatre with good occupancy & it will run till Bhart arrive So wait f … https // t co / yKUF0RH7nN,,
neutral,@ JayJadhav2108 @ Cricketician _ @ Ruchita __ 18 Kaun GF ? Kaha hai GF ?,,
neutral,@ TalatHussain12 Yahudi ko musalman protocol de Ho nahi sakta,,
neutral,# PledgeAgainstCorruption Good morning Sohne pyare Satguru ji 🌹🌹🌹🌹🌹🌹🌹🌹🌹 Bless me pita ji 🙏🙏 @ Gurmeetramrahim ji,,
neutral,@ sanjaynirupam Aap in sabdo ki jagah agar ye likhte ki modi g ka yah phesla swaagat yogya hai aur hm to chahte hai … https // t . co / es0jwwJE2r,,
negative,@ legendmusic193 @ ANI @ asadowaisi Kisi ki Baap ki jagir nhi @ legendmusic 193 uthaya aur chang kar diya virodh karne … https // t . co / qfWkDaXAHL,,
neutral,Ye to epic hai apne kartuton ki jimmedari irctc pe daal rhaa hai launda ehh ehh ehh ehh https // t co / duYCUYpjqg,,
negative,Bc abhi to Amit Shah ne Home ministry sambhali hai Pakistani abhi se shiver kar rahe !!! 😂😂😂 # PAKvWI # CWC19 # AmitShahHomeMinistry,,
negative,@ zartajgulwazir Sifarshi Hypocrite Nepotism at it best by typical patwaran Zameer ma jab patwarion wali harkata … https // t . co / W4DMeBip5g,,
neutral,@ ashokgehlot51 Sir Abki baar fir modi sarkar Aur ha sir ek baat aur aapko bata de jab tak modi ji hame 15 Lakh ru … https // tco / avTU8iSyYu,,
neutral,HAPPY BIRTHDAY Srinish Aravind - MY FILMY DUNIYA Help Line No . 08866681188 / 2288 / 3388 / 4488 Born 31 May 1943 (… https // t . co / rdCd8y9gbZ,,
positive,@ Mariam _ Jamali Nice one but logo filhal KK ki jaga Pakistan ka lagwa do . Pic is good,,
neutral,@ narendramodi @ AmitShah sir I am a blind supporter of BJP but not a dumb . I can sense the arrogance of BJP MLA in y … https // t . co / omK0pCQFjD,,
positive,Yoongi is so intellectual and woke I wish he had the chance to exhibit all that in his own songs sighhh,,
neutral,Jab Congress ke spokesperson TV debate me Battamiji karte the tab to unko nahi roka gaya ab haar ke baad jawab den … https // t co / bhduG3IJlY,,
neutral,@ kamaalrkhan mr khan still what you are doing on twitter as well as in India ? You challenged on twitter on 27th A … https // t . co / mryY2ggER2,,
negative,@ shreytiwari7 @ Rajatpraja1234 @ Nitinbhansali @ priyankagandhi Lekin tumhe matlb ki baat isliye pta nhi chlti kyoki t … https // tco / KM0qSfpcVF,,
neutral,Sir aap ki favret teme konsa he is warld cup me kya englend wald cup jit sakta he # SachinOpensAgain,,
positive,RT @ Saurabhsuperman @_ ravidubey Ravi I watched Kudiye Ni and I am so jealous of you . She is so beautiful . Well Stay blessed . Lots of love to …,,
negative,@ ArvindKejriwal @ KejriwalSunita @ msisodia Arvind ji apko sharm mehsus Nahi Hoti har bat k liye ap Modi ji ko blame … https // t co / w8CgtqBrFp,,
negative,@ SwetaSinghAT 30000 se jayada BJP fake WhatsApp and websites advertiser's heir karke rakhe hai Hut Modi tujse ye ummid na thi,,
neutral,@ narendramodi bas ek bar like kar do tweet man khush ho jayega subah se udas baitha hu mobile gum gaya . https // t . co / GBTe41FGu3,,
negative,RT @ adil24 @ NetflixIndia chup kar warna aankhon ki laser se teko jala dunga sala # SacredGames ki date nai bata raha hai,,
negative,@ bts _ outtalented @ sakshi _ 995 Tbh she is not telling them to do or not to do anything . she just found it disrespect … https // t . co / glDPJQNBPJ,,
neutral,@ OfficeOfKNath Sir kya apka sharkar aane ke bad bhi muslim safe nhi hain madhay pardesh me . 23may ko jo video aaya … https // t . co / USKmtlUQBG,,
neutral,@ Manzoorjakhro2 @ TigerShroff _ FC @ iTIGERSHROFFML @ iTIGERSHROFF Sid ki flop movie count Kar le pehele Tera Sid biggest flop,,
negative,@ SaadTar53111786 Bete teri gnd me jarur de dunga bhenchod osama ki aulad teri maa ki gnd me roz hafeez azhar dn … https // t co / TTbfcFSkrO,,
neutral,@ er0rr420 @ Sanjeev40330782 @ Prateik9807 @ JoharHussaiin @ MehranMarri @ TarekFatah @ narendramodi @ BJP4India … https // t . co / T4744zdqp7,,
neutral,@ PramodRNkumar Lines 🙌🙌 Jab koi sach bole to sab kehne lgte h we live in secular country huminity sabse aage .… https // t . co / ZWVHIIleOF,,
negative,RT @ botticellibb not to hurt anyone ’ s feelings but if u think missionary sex is inherently boring and bad you ’ re fucking ppl u don ’ t like,,
positive,Good Morning God Sant Dr . @ Gurmeetramrahim singh ji insan 🙏🙏 please bless me & my family for more & more sewa simra … https // t . co / qeMFDHS0Oo,,
negative,@ chitraaum @ aajtak Jo bjp ke saath nahi woh atankwadi h aour jo hindu RSS ke saath nahi woh deshdrohi hai aaj kal b … https // t . co / uey5QzvEZu,,
neutral,Aise barish se dosti a66i nahi maaraz tere khud ka gar mitti ka h Ku6 to khyal kar Tera intzar har koi nahi karega … https // t . co / VnzralLxAe,,
neutral,@ sambhashan _ in @ Satyend71267811 @ UmeshKu57660152 Aaap ki baate kabhi v galat nahi hai . 🙏🙏🙏🙏🙏🙏🙏🙏,,
neutral,RT @ alanna _ davi @ tora _ cyrrell HAHAHA this is so me,,
positive,RT @ insan2318 💕 Good morning my almighty @ Gurmeetramrahim papa ji 💕 🌹 Plz bless me more sewa sumiran parmarth ka bal 💪 bakhsh …,,
negative,@ raman _ bajpai Results are out I think aapke autocorrect ne Congress ko bjp se replace kr diya,,
negative,@ pankhuripathak Bechare Cong Dalal hub bhik mangne ki layak bi nayi choda Desh ke public . # italian corruption party Rahul fakegandhi,,
negative,Mere # Desh ki # democracy aisi hai jaha # Bharosa to bht hai # sarkar par Lekin # kam dikhte nahi .. Ya to sarkar ki … https // t . co / RV6npBqsQ6,,
negative,RT SRKxPREDATOR SahilAhmed44 Abe laudu kise pagal bnara hai Saaale D4 ki news ye fan dega terko ? Isse achha to ek fake account bnakr khu …,,
positive,RT @ zainiii _ says if you are reading this may All ā h ﷻ give you strong Imaan and answer your silent prayer Jumma Mubarak 🌸 ❤,,
negative,RT @ Che _ SinebyCos I'm bhand and the only tension right now is ki Hostel waapas ke rastey me ek madarchod kutta hai jo saala kaatne ko daud …,,
positive,RT @ SonyTV RT if you agree @ TheShilpaShetty it was a Super Se Bahut Bahut Upar Performance . # SuperDancerChapter3 https // t . co / 5gebx6qT4C,,
negative,@ MaryamNSharif Hamare ilaqe mein to Ayub or Zia k bad koi naya hospital nei bana . Jo hain unki bhi halat khasta hi … https // t . co / FqPZOsL9zI,,
negative,@ villageboy _ ind @ abhisar _ sharma Hum tumhari tarah sadko par nikal kar chillate nahin pagalo ki tarah Tum saale chh … https // t co / 5RPnt8ApHA,,
negative,@ Atif _ PPP @ arsched Kion ye tumhari behen lay k bhag gaya hay salay barway,,
positive,@ narendramodi hi sir apko dil se ekbar namaste apka big fan hu hum bajrangi dal me samil hone k lie utsuk hu aur me … https // t . co / QiQgsGVLn9,,
neutral,@ ndtv No one jobless only congresi and Rahul Gandhi is job less all are doing there job koi bhukha nahi sota a … https // t co / x2ESgb5Vjk,,
